"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag"
"ParaDisco was a dream come true—pulsating beats, electrifying performances, and non-stop energy! We danced, dazzled, and kept the party going all night long. Huge thanks to our stellar lineup and the fabulous drag queens who brought the glamour, drama, and pure magic! Here’s a glimpse of the wild vibes! 🪩💃

#monkeybar #paradisco #gobananas #monkeybarind #mobar #monkeybardelhi #delhinightlife #party","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DH-52uQyU2i/","0","","34","2025-04-03T11:34:12.000Z",
"Monkey Bar Mumbai’s first Cocktail Coup with @mannatshetty behind the bar was an absolute hit! The Monkerita, made with our favorite tequila, stole the show. It was lovely to see you all :)

#swingtothenew #gobananas #mobar #newflavours #newvibes","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DALtcgYSZAT/","0","","187","2024-09-21T14:44:37.000Z",
"Join us as we turn up the volume for Monkey Bar Bengaluru’s 1st birthday bash!  The iconic @djivanindia will be spinning the decks to make this anniversary celebration unforgettable.

#gobananas #monkeybarbengaluru #monkeybarind","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DAD6vQPS-J2/","2","🔥🔥🔥🔥","505","2024-09-18T14:08:03.000Z",
"GnR Canyon Sunday Brunch today comes to you live and kicking from the brand new Monkey Bar in Bandra, a fun and warm space created by @adsingholive and his very able team. This 2.0 version is all gold, and warm and open spaces, thanks to @sabinaadsingh and her creative eye, and it’s got some great food, cool cocktails (they still have some of the old favourites, so just ask the bartenders to fix you up!) and a chilled out alfresco space to hang out with your gang. 
We hung out with our friend, business coach, author and Tedx speaker mgursahani who has been filling our head with amazing stories from around the world. 
We loved monkeying around the space, esp the cool new coffee bar, and are having a lovely lazy brunch, GnR style. 
Thanks AD for giving us this lovely new hang out space in the heart of Bandra. Love ya! ❤️

#monkeybar #bestofmumbai #brandnew #newlaunch #bandra #gnrcanyonsundaybrunch #sundayfunday #gnrdineouts","Shyamasree Romi Purkayastha","romibites","https://www.instagram.com/p/DANuJVAM9Qs/","22","🙌","1997","2024-09-22T09:28:15.000Z",
"Textures that tell a story. Here's a first look of what's in store by @sabinaadsingh , Design Director of the Olive Group of Restaurants!

#Swingtothenew #gobananas #newflavours #newvibes #monkeybarmumbai #MonkeyBarInd","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/C_3IjaryhVT/","0","","128","2024-09-13T14:57:43.000Z",
"We loved hosting @siddhartth 's birthday at Monkey Bar, Delhi. It was a blast:)

#gobananas #Swingtothenew #newvibes #newflavours #monkeybardelhi #MonkeyBarInd","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DAQ7G97SUnO/","2","🔥🔥🔥","266","2024-09-23T15:23:04.000Z",
"Monkey Bar Bengaluru is turning one, and we're getting jazzy with it! So let's monkey around and celebrate! 

Join us for our 1-year anniversary party with @rynosax

Date: 28th September

Time: 9 pm

#swingtothenew #gobananas #monkeybarbengaluru #MonkeyBarInd","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DAQi8pcSTza/","2","Mangalore burning a hole on that bucket list","1332","2024-09-23T11:50:12.000Z",
"Hey! Hey! Hey! 
Our launch night was a blast:) We made some magic! 
Can't wait to see you all as we open Wednesday, 18th Sept, 7pm onwards.

#gobananas #Swingtothenew #newflavours #newvibes #monkeybarmumbai #monkeybarind","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DABav9XStGH/","5","Congrats brother","863","2024-09-17T14:50:08.000Z",
"Oops! We did it again! We're on a roll! Come over Mumbai:)

#gobananas #Swingtothenew #newflavours #newvibes #monkeybarmumbai #MonkeyBarInd","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DAnsgOlS-G8/","1","Congratulations","286","2024-10-02T11:35:17.000Z",
"ATTENTION PEACHES! ⛓️🍑⛓️

An idea so peachy is finally taking form! And we are so excited to share the experience with you! 

@districtindia @monkeybarind and @_lushlata_ are coming through with peak lush behaviour bringing the first ever edition of this ‘Feel Good - Open Format’ parties! 🙌

LUSH LOFT // @_lushloft_ IS FINALLY HERE and I couldn’t be more hyped! 🔗🥵🥇

Where: @monkeybarind in New Delhi 
DATE: 21st September 
Line up: @_lushlata_ + @parvatimusic + @maddeof + @harshitaasethi and to spice things up even more we’ve got VERY SPECIAL GUESTS (trust me, you’re not ready for this!) who are about to shake things up! 

Let’s make it LOUD and LUSH! see you there!! 📢🍑

Grab your tix now – link in bio!

#LushLoft #KeepitLush #DistrictIndia","Lush Lata","_lushlata_","https://www.instagram.com/p/C_-gXD7IXIw/","72","always a genius @mjofnone","435","2024-09-16T11:39:49.000Z",
"No colour. No clues.
Just a countdown to something consciously crafted ♻️
This Earth Day, we’re shaking things up—sustainably!

#ZeroWasteCocktail #WatchThisSpace #EarthDay #monkeybar #monkeybarind #mobar #sustainablesips #gobananas #consciousliving","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DIV2OXLSKaA/","0","","18","2025-04-12T09:25:05.000Z",
"The Monkey Bar Mumbai preview party - day 1, was an absolute blast!  From yummy moments to epic cocktails, the night came alive with wild energy.

#swingtothenew #gobananas #newflavours #newvibes #monkeybarind #monkeybarmumbai","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/C_5-ZmwSwBy/","5","😍😍😍","434","2024-09-14T17:26:51.000Z",
"Oh-so-lovely! Experience the vibe at Monkey Bar, Delhi. See you soon:)

#Swingtothenew #gobananas #newflavours #newvibes #monkeybardelhi #MonkeyBarInd","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DAIwoEvIVNM/","0","","254","2024-09-20T11:13:31.000Z",
"Hey Mumbai #Swingtothenew Coming Soon!

#monkeybarmumbai #NewFlavours #newvibes #relaunch","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/C_lBMuTyVje/","0","","8","2024-09-06T14:05:40.000Z",
"Shaking things up behind the bar! The crew’s got the moves, and the drinks are ready to flow. Monkey Bar Mumbai, coming soon!

#gobananas #Swingtothenew #monkeybarmumbai #MonkeyBarInd","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/C_s19T3yacz/","0","","165","2024-09-09T15:02:17.000Z",
"Hey Mumbai #Swingtothenew Coming Soon!

#monkeybarmumbai #NewFlavours #newvibes #relaunch","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/C_lBnWZSrxH/","0","","6","2024-09-06T14:09:19.000Z",
"Hey Mumbai #Swingtothenew Coming Soon!

#monkeybarmumbai #NewFlavours #newvibes #relaunch","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/C_lBwP7StLj/","0","","10","2024-09-06T14:10:32.000Z",
"Hey Mumbai #Swingtothenew Coming Soon!

#monkeybarmumbai #NewFlavours #newvibes #relaunch","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/C_lBz5DSYd6/","0","","14","2024-09-06T14:11:01.000Z",
